row_id,video_id,message,timestamp,time_in_seconds
579,51W1AoWLo2U,diretor tá com moral kkk,29:51,1791.392
227,51W1AoWLo2U,sim grande jogo já estou com uma garrafa de coca cola e um empadão lkkk,11:40,700.494
702,51W1AoWLo2U,Jamaica Abaixo de Zero,34:24,2064.519
501,51W1AoWLo2U,ganja liberada no estádio,25:25,1525.521
568,51W1AoWLo2U,Aquecimento aqui ouvindo um Bob,29:11,1751.049
421,51W1AoWLo2U,Jamaica vai eliminar a Inglaterra na copa anota ái,21:34,1294.636
90,51W1AoWLo2U,Bob marley,5:03,303.212
435,51W1AoWLo2U,Desse jogo sai o Campeão da copa,22:12,1332.392
149,51W1AoWLo2U,42 x 0 jamaica,8:23,503.541
672,51W1AoWLo2U,"Jamaica, sou fã da Concacaf.",33:06,1986.078
993,51W1AoWLo2U,sera que alguem passa no doping hj,46:00,2760.308
1678,51W1AoWLo2U,já dizia craque neto itis lovi,1:02:06,3726.294
2123,51W1AoWLo2U,"Avante Missão,fora Maconheiro",1:07:58,4078.562
2234,51W1AoWLo2U,bora nação do Mengão e G.F bater a meta!,1:09:51,4191.902
1483,51W1AoWLo2U,Macumba isso aí,59:35,3575.272
1266,51W1AoWLo2U,povo feio,55:19,3319.603
750,51W1AoWLo2U,esse jogo não começa não?,36:58,2218.868
1052,51W1AoWLo2U,vamo raggae boys,48:05,2885.085
2286,51W1AoWLo2U,bora caledônia,1:10:37,4237.224
1140,51W1AoWLo2U,5 gols ht,51:21,3081.452
2335,51W1AoWLo2U,4x20 jamaica,1:11:39,4299.107
3995,51W1AoWLo2U,os caba burro mds,1:36:42,5802.599
4238,51W1AoWLo2U,único with do time,1:41:01,6061.414
4150,51W1AoWLo2U,fatiada,1:39:47,5987.414
3260,51W1AoWLo2U,brasa sou eu porra aqui é canarinho,1:24:35,5075.821
4475,51W1AoWLo2U,goool no vascu,1:45:51,6351.456
3294,51W1AoWLo2U,isso é um jogo ao vivo meia noite?,1:25:14,5114.908
4314,51W1AoWLo2U,SNOOP DOG não foi convocado?,1:42:21,6141.557
4157,51W1AoWLo2U,Quando o Dee Jay vai entrar?,1:39:52,5992.756
2410,51W1AoWLo2U,Uma das melhores transmissões dos últimos tempos... Ainda bem que eu vim.,1:12:32,4352.34
5196,51W1AoWLo2U,ta marolado kkk,2:10:07,7807.955
5230,51W1AoWLo2U,vai brasa,2:10:54,7854.211
5124,51W1AoWLo2U,Bora ambos,2:08:23,7703.968
5268,51W1AoWLo2U,[USER] kkk tao dando a vida pela verdinha,2:11:48,7908.958
4709,51W1AoWLo2U,Quando o pino bate e complicado,1:50:13,6613.909
5792,51W1AoWLo2U,não sei como esse time da nova caledônia conseguiu ganhar da seleção do Gibraltar,2:21:00,8460.067
5734,51W1AoWLo2U,ousadia,2:20:17,8417.834
5882,51W1AoWLo2U,estádio jalisco,2:22:50,8570.424
4787,51W1AoWLo2U,"Agora sério, a camisa de aquecimento da Jamaica é mais bonita que a de jogo!",1:52:07,6727.212
5596,51W1AoWLo2U,Bob Marley,2:17:31,8251.723
7871,51W1AoWLo2U,n sei quem e mas ruim noiz no brasil ou esses dois países,2:52:27,10347.751
8407,51W1AoWLo2U,"juiz canalha, era falta",2:57:47,10667.976
6757,51W1AoWLo2U,joguei 100$ na caledônia proximo gol add 9.00,2:39:24,9564.509
6268,51W1AoWLo2U,fumaram a braba fiii,2:29:48,8988.525
6222,51W1AoWLo2U,"Jamaica voltou mais tranquila do intervalo, com mais paciência, tiveram um conselhe ""do bom""",2:28:52,8932.503
7094,51W1AoWLo2U,botei Jamaica e 1.5 merdaw,2:44:22,9862.045
6982,51W1AoWLo2U,"vamo pra prorroga, já é copa",2:43:35,9815.969
8344,51W1AoWLo2U,nova caledônia merecia mais,2:57:08,10628.177
6008,51W1AoWLo2U,O gol é mais ali mano,2:24:40,8680.673
7085,51W1AoWLo2U,estamos aqui pela resenha.,2:44:17,9857.427
8535,KLzlxfxKzec,Jogar no Vila Nova (GO).,13:37,817.892
8488,KLzlxfxKzec,Seria muito bom para a Copa ter a Itália e a Turquia,5:54,354.555
8551,KLzlxfxKzec,"torço por liverpool,e queria muito que ele fosse pra roma",18:35,1115.03
8525,KLzlxfxKzec,seria A com o salah seria uma liga de velhote,8:32,512.342
8534,KLzlxfxKzec,craque,13:33,813.316
8515,KLzlxfxKzec,manda um abraço pra clinica americana ocult day,7:19,439.384
8474,KLzlxfxKzec,Croácia o meio campo é só top 5 do mundo,5:03,303.148
8517,KLzlxfxKzec,salah vou aproveita cada jogo agora,7:34,454.858
8483,KLzlxfxKzec,ótima tarde a todos amigos.,5:41,341.572
8547,KLzlxfxKzec,Gosto do Livespo pq no escudo do time tem um galo garnizé isguar os daqui da fazenda,16:44,1004.054
8562,KLzlxfxKzec,"Será q o Liverpool vai querer Rayan , com a saída de Salah? Seria show!",22:22,1342.75
8586,KLzlxfxKzec,Salah e De Bruyne maiores da década,30:32,1832.886
8601,KLzlxfxKzec,danilo varmengo na seleção foi a pior contração depois de bagretá,35:33,2133.536
8605,KLzlxfxKzec,nome da copa tem um jogador chamado flaco lopes,37:13,2233.032
8581,KLzlxfxKzec,[USER] apenas fatos dito por esse homen,27:43,1663.327
